,id,album,artists,duration_ms,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
14643,4IhlOuGe7IRNMAVgkgHn1H,Ung och stolt,['Eva Dahlgren'],224706,False,Jag klär av mig naken,32,0.731,0.617,5,-8.796,1,0.0449,0.104,1.1e-06,0.468,0.609,113.286
14644,71J6q9BTYhMT4JOjcH9ea1,Bleu,"['Claire Laffut', 'Yseult']",199009,False,Nudes,44,0.731,0.861,4,-5.694,0,0.0378,0.0476,0.00918,0.148,0.548,103.023
14645,60Qib6jBxNJGCxVk8mJeRI,Vamos Amigos,"['Mendez', 'Alvaro Estrella']",182000,False,Vamos Amigos,40,0.653,0.917,8,-4.342,0,0.108,0.306,0.0,0.2,0.455,104.993
14646,7KvFsS3mNSfS0mJahfVREE,Joyous Celebration 25 - Still We Rise: Live At The Joburg Theatre,['Joyous Celebration'],418546,False,Thank You Lord - Live,22,0.596,0.555,2,-11.3,1,0.0619,0.00993,1.88e-06,0.0902,0.343,118.189
14647,0AQxWJEKE1tisPm3zZLSFp,Master of Bach / Organ Works,"['Johann Sebastian Bach', 'Helmut Walcha']",140333,False,"Vom Himmel hoch da komm ich her, BWV 769: Variatio III: Canone alla settima (Cantabile)",13,0.132,0.037,0,-21.335,1,0.0453,0.833,0.937,0.139,0.304,98.954
14648,2bdUkiK4p2wuaqzcBLm1zc,Superunknown (Deluxe Edition),['Soundgarden'],308866,False,4th Of July,54,0.355,0.754,5,-5.692,0,0.0378,0.118,0.000936,0.175,0.201,142.203
14649,41Z8AQVCyLUVObvMIAl9L8,Sdot Go - 7evside K,"['SweepersENT', 'NazGPG', 'Jay Hound']",118857,True,Sdot Go - 7evside K,50,0.821,0.696,2,-9.605,1,0.447,0.17,0.0,0.284,0.751,149.117
14650,7K3RgukdPFTSOsOaqeqVRB,Beyond The Veil,"['Seven Lions', 'Lights']",292633,False,Stop Thinking (feat. Lights),53,0.387,0.595,9,-5.831,1,0.0397,0.309,1.49e-06,0.0618,0.144,170.079
14651,59PL9AwYjIrIpP04n9gmMR,Furious 7: Original Motion Picture Soundtrack,"['Kid Ink', 'Tyga', 'Wale', 'YG', 'Rich Homie Quan']",211908,True,Ride Out,64,0.696,0.801,5,-5.641,0,0.0952,0.0469,0.0,0.502,0.536,93.003
14652,2BkyYZmU4JuWW2sYi9EzpC,7 Minutes,['Dean Lewis'],211453,False,7 Minutes,60,0.613,0.739,10,-6.478,1,0.0311,0.526,0.0,0.149,0.712,104.966
14653,0VhIXjdHG6Of3PXHPP1a3p,Seven + Mary,['Rainbow Kitten Surprise'],210417,False,Mr. Redundant,56,0.838,0.308,0,-8.209,1,0.0481,0.781,0.0,0.0901,0.172,119.957
14654,6FN6Nnus8qPSMmIwFFBznS,Notte in Campeggio,['Lukas Graham'],237300,False,7 Years,0,0.765,0.473,10,-5.829,1,0.0518,0.286,0.0,0.391,0.341,120.007
14655,0CJuLeZpCdqrqoCMXWZw8k,Tchaikovsky: The Nutcracker,"['Pyotr Ilyich Tchaikovsky', 'Berliner Philharmoniker', 'Sir Simon Rattle']",415813,False,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",61,0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362
14656,26QORAYrHVWk6Pn6ELkzvn,Destiny (Expanded Version),['The Jacksons'],227261,False,"Shake Your Body (Down to the Ground) - 7"" Version",56,0.796,0.72,0,-7.203,1,0.0763,0.0528,0.0,0.337,0.851,117.401
14657,6rVujfYLm9YmdyjV5xTgsS,Pound Syndrome,['Hopsin'],350482,True,Ill Mind of Hopsin 7,52,0.642,0.791,2,-3.859,0,0.322,0.0515,0.0,0.119,0.331,93.015
14658,4BWLQqPYrIhUa55epMW0Ko,Master of Bach / Organ Works,"['Johann Sebastian Bach', 'Helmut Walcha']",171000,False,"Vom Himmel hoch da komm ich her, BWV 769: Variatio IV: Per augementationem / Nel canone all'ottava",13,0.065,0.124,0,-20.31,1,0.0373,0.912,0.953,0.122,0.224,63.591
14659,7HKRWMTErKh56EIBeFcmdf,City of Evil,['Avenged Sevenfold'],334066,False,Seize the Day,68,0.393,0.802,5,-4.499,1,0.0367,0.0168,0.0,0.193,0.338,140.101
14660,2fwz9mBaELJCzXuEEEe35Y,1000 gecs,"['100 gecs', 'Laura Les', 'Dylan Brady']",141290,True,745 sticky,51,0.608,0.708,6,-5.682,1,0.244,0.128,8.65e-05,0.821,0.798,75.048
14661,06wCZHiAyH5s4e4DyYp8Ke,SEVEN CORPS,"['$NOT', '$u$ Valentino']",133015,True,SEVEN CORPS,50,0.689,0.444,1,-12.131,0,0.369,0.73,3.55e-06,0.16,0.455,159.902
14662,3HWQrKGmb05pcNoTIzzBwL,7220,['Lil Durk'],173880,True,Headtaps,58,0.562,0.609,5,-7.672,1,0.279,0.0461,0.0,0.131,0.38,158.803
14663,7KoPSz19tjPL1j0a5vvld6,"RFK Stadium, Washington, DC, 6/10/73 (Live)",['Grateful Dead'],491788,False,"It Takes a Lot to Laugh, It Takes a Train to Cry (Live at RFK Stadium, Washington, DC, 6/10/73)",0,0.52,0.247,9,-21.76,1,0.0659,0.552,0.161,0.491,0.825,216.24
14664,17SBD4aDKo9ZeahcQJ6j72,Dark & Wild,['BTS'],226425,False,24/7=Heaven,59,0.642,0.903,2,-2.976,1,0.117,0.0635,0.0,0.33,0.573,96.068
14665,1MEJ1Lj7X9UUEs0yW4JEoA,No.7,['Jibaku Shonen Band'],232413,False,No.7,56,0.428,0.942,6,-3.667,1,0.211,6.34e-05,1.41e-05,0.276,0.431,94.919
14666,0Ymedt4smBo2400Sg3Vjow,Jupiter's Diary: 7 Day Theory,['Rod Wave'],132000,True,Don't Need,54,0.647,0.643,0,-8.258,1,0.0646,0.00173,0.0,0.0626,0.629,150.027
14667,297d7PwfSFHQXCjqqDXQT2,Avenged Sevenfold,['Avenged Sevenfold'],288520,False,Scream,62,0.549,0.941,6,-4.802,0,0.0521,3.74e-05,1.45e-06,0.214,0.581,130.009
14668,05y860js7tl7pqqleQz1Ib,Dance Fruits Music,"['Dance Fruits Music', 'DMNDS', 'KOYSINA']",133000,False,Seven Nation Army (feat. KOYSINA),62,0.785,0.8,4,-3.673,0,0.0673,0.21,0.0162,0.446,0.517,124.938
14669,1C7HPaXwPAocbAnqeSKV04,Master of Bach / Organ Works,"['Johann Sebastian Bach', 'Helmut Walcha']",85160,False,"Vom Himmel hoch da komm ich her, BWV 769: Variatio II: Allo modo / Nel canone alla quinta",13,0.247,0.0756,0,-25.213,1,0.0409,0.896,0.184,0.174,0.316,66.841
14670,0I6eN8EBj8SIMeYEiB7Bww,Pirate Dance Machine,['F-777'],142285,False,The 7 Seas,57,0.593,0.927,5,-5.761,0,0.076,0.064,0.966,0.183,0.546,140.048
14671,4HDMr1ELj5yZYVE9klMCxl,Joshua,['French 79'],101846,False,Hometown (intro),62,0.234,0.204,5,-18.896,1,0.0459,0.928,0.882,0.153,0.0404,111.769
14672,7lrqvdivAYRGEiO8JFP31G,MAP OF THE SOUL : 7,"['BTS', 'Halsey']",229773,False,Boy With Luv (Feat. Halsey),69,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947
14673,6myVvJ8nLSd66cWOpIBYsC,Grey Sheep II,['$uicideboy$'],96052,True,Chevrolet - Pimpalicious Candy Cane Mane '74 REMIX,51,0.823,0.902,11,-4.511,1,0.0376,0.241,0.0227,0.329,0.713,130.017
14674,7ukwLZdHWlFZ8mrIYw8xbX,Points of Interest,['glue70'],106153,False,Casin,60,0.964,0.658,0,-6.896,1,0.22,0.0734,0.0348,0.0706,0.731,104.024
14675,652xAJOQTkyKf7z6YaI1bf,Weber: Piano Works,"['Carl Maria von Weber', 'Michael Endres']",94040,False,"7 Variations on the Air Vien qua, Dorina bella by Bianchi, Op. 7, J. 53: Andante",58,0.227,0.009,0,-35.166,1,0.0649,0.995,0.856,0.0981,0.243,173.036
14676,5jjjfdI8NBiMouMwJEaY6F,Raindrops Vol 7,['Dean Lewis'],241292,False,Waves,1,0.517,0.762,11,-5.807,0,0.0453,0.162,0.0,0.0897,0.351,156.93
14677,2oUX4i8ByoaDrHHz9z5Bga,Tchaikovsky: The Nutcracker,"['Pyotr Ilyich Tchaikovsky', 'Berliner Philharmoniker', 'Sir Simon Rattle']",306533,False,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14a, Pas de deux. Andante maestoso",58,0.139,0.148,7,-18.882,1,0.0386,0.929,0.954,0.106,0.0788,142.536
14678,5KPSKv02jtAsI7fmpT7enC,Is It Too Much to Ask For,['me7k'],100586,False,Is It Too Much to Ask For,61,0.901,0.467,10,-9.142,1,0.0586,0.05,0.0153,0.105,0.58,105.586
14679,3vrm4dNThrhQ0BArrLIUOV,Somebody's Watching Me,"['Chico Rose', '71 Digits']",176640,False,Somebody's Watching Me,70,0.712,0.857,1,-4.922,0,0.052,0.0855,9.98e-05,0.0723,0.207,124.963
14680,7tc7eQJbQEssPJBoB89gFw,7.2,['La Fiera de Ojinaga'],147328,False,Cuento las Horas,56,0.673,0.906,0,-3.028,1,0.0312,0.0975,0.0,0.164,0.88,115.845
14681,1HEY55jmwwLqUNVnotpG5e,Cooties/Castles,['Faceless 1-7'],69508,True,Cooties/Castles,56,0.799,0.484,6,-10.093,0,0.0767,0.00474,0.0834,0.443,0.495,90.006
14682,3iJpkw9KKdzMNZQVrdRzsl,SEVEN (Live),['Brooke Ligertwood'],309329,False,A Thousand Hallelujahs - Live,58,0.458,0.543,1,-8.374,1,0.0329,0.325,3.29e-06,0.183,0.227,135.794
14683,0zD93qdDeQ7XFAAtyYM8bk,Seven + Mary,['Rainbow Kitten Surprise'],194430,False,Fail!,55,0.623,0.681,7,-6.012,1,0.105,0.0337,0.000111,0.0812,0.499,100.152
14684,0HOO0VCsP6KbqY3ehwsMy9,"J.S. Bach: Orchestral Suite No. 2 in B Minor, BWV 1067: No. 7, Badinerie (Arr. Spindler for Oboe, Strings and Basso continuo)","['Johann Sebastian Bach', 'Albrecht Mayer', 'Berliner Barock Solisten']",89434,False,"Orchestral Suite No. 2 in B Minor, BWV 1067: No. 7, Badinerie (Arr. Spindler for Oboe, Strings and Basso continuo)",39,0.616,0.392,9,-13.694,0,0.0491,0.918,0.965,0.111,0.776,120.002
14685,22szgJ9WufVHgefSgOD6Dv,Cold Skin (The Remixes),"['Seven Lions', 'Echos', 'MitiS']",236712,False,Cold Skin - MitiS Remix,53,0.519,0.874,10,-4.219,1,0.0389,0.144,0.0016,0.0548,0.166,145.944
14686,1h04XMpzGzmAudoI6VHBgA,Magical Mystery Tour (Remastered),['The Beatles'],180893,False,Penny Lane - Remastered 2009,67,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038
14687,0gFFliMwE4gGpPhYmyC8ci,4L,['Yeat'],185234,True,Tëslas & Rovers,61,0.543,0.493,7,-7.324,1,0.0292,0.00405,0.0,0.478,0.111,140.033
14688,0eeeK1ar71WxdsTKydG9yz,Sremm 4 Life,['Rae Sremmurd'],166875,True,Tanisha (Pump That),65,0.952,0.567,8,-7.067,0,0.24,0.203,6.75e-05,0.145,0.668,128.047
14689,3fDsErbmOD3TuaSDuxSXav,Four The Record,['Miranda Lambert'],253373,False,Over You,59,0.566,0.507,6,-6.973,1,0.0279,0.535,0.00619,0.107,0.141,158.119
14690,7bxegQfGfIc9ybrQafVtf8,Sremm 4 Life,['Rae Sremmurd'],240561,True,Flaunt It/Cheap,62,0.706,0.796,11,-4.043,0,0.274,0.0256,1.17e-06,0.247,0.47,118.026
14691,1YvVbuRKDU9zRE3OsZxx4v,Los Huracanes del Norte - 40 Aniversario,['Los Huracanes del Norte'],220682,False,Nomas Por Tu Culpa,67,0.577,0.473,10,-6.805,1,0.137,0.267,0.0,0.223,0.723,163.145
14692,1lASDtTqKAfsnD6hixGKtz,Chuck,['Sum 41'],184866,False,No Reason,65,0.45,0.989,6,-3.234,1,0.0574,0.000275,0.0,0.872,0.455,97.968
14693,4O7FYAjDATiyylfIIAuRNE,B4 AVA,"['A Boogie Wit da Hoodie', 'Lil Durk']",205702,True,24 Hours (feat. Lil Durk) [Bonus],66,0.586,0.474,2,-9.21,0,0.18,0.334,0.0,0.118,0.146,91.105
14694,6PR3ZUCnxtQTEu30qgZLwT,Minecraft - Volume Alpha,['C418'],111437,False,Door,62,0.459,0.112,5,-17.378,1,0.0396,0.974,0.939,0.093,0.0781,65.243
14695,0KeDuUqEX3P0cKzRD5pEom,Gordon,['Barenaked Ladies'],266733,False,"If I Had $1,000,000",63,0.644,0.433,9,-14.016,1,0.113,0.378,0.0,0.101,0.761,80.161
14696,358qSGpL4SSy7tRoj6gsmS,La Loca (En Vivo),['Los Dorados'],246251,False,La Loca (En Vivo),66,0.712,0.604,3,-9.63,1,0.0285,0.297,0.00159,0.345,0.489,101.46
14697,1MX0g22bQkr9HDVe37fLnN,Love Yourself 轉 'Tear',['BTS'],230063,False,134340,68,0.665,0.687,11,-6.466,0,0.0547,0.155,9.28e-05,0.173,0.651,106.023
14698,1wLmGJDlHjrDFHt0OwT5pl,Raindrops Vol 4,['Selena Gomez'],207904,False,Back To You - From 13 Reasons Why – Season 2 Soundtrack,1,0.6,0.725,6,-4.866,1,0.0487,0.0933,1.87e-06,0.12,0.506,102.056
14699,7JmbTpRv6FYXPznEdwj9R9,LanzaPeRecords,['La Torita'],176000,False,100 %,4,0.753,0.31,11,-18.987,0,0.379,0.0822,0.0,0.0907,0.737,88.944
14700,4yG0eZcYwPleN95DOnWo56,World War III,['Self Made E'],102034,True,10 %,0,0.823,0.472,0,-13.858,1,0.474,0.0328,0.0,0.103,0.942,169.89
14701,0vkZ41X8EycB7bJCi2HodH,V I B E S,['SLIGHT BEATS'],150423,False,0 %,0,0.864,0.503,5,-13.499,0,0.0619,0.0735,0.618,0.274,0.581,115.021
14702,6s9jS8IYIijv6Hv9xGMbsj,Kbs,['krill'],180536,True,100 %,0,0.699,0.709,4,-7.961,0,0.153,0.752,4.6e-06,0.431,0.408,75.02
14703,2qmvoaXESCGSZ4CoEZLnaA,Big 7,['SantanaWildin'],171432,True,100 %,0,0.811,0.582,8,-8.839,1,0.0914,0.158,0.0,0.113,0.415,124.96
14704,2qSj1M9hnLVO7LqJrY21gL,SAY WOADIE,['SoCold'],138735,True,5 %,0,0.739,0.497,1,-11.405,1,0.215,0.329,0.0,0.0742,0.591,89.983
14705,5N40uZtBxkwclwbZACZkzl,4orever Human,['Olay Nook'],170800,True,5 %,0,0.877,0.561,2,-9.79,1,0.454,0.0744,0.0,0.0828,0.551,150.023
14706,7rumNkWerPOCDAb8J69RTv,Ni + Ni -,['Puritano Mc'],258062,True,110 %,0,0.755,0.517,4,-10.809,0,0.573,0.188,0.0,0.133,0.459,84.278
14707,20adq2ClWjVq3QS109a65w,PROTOTYPE_V,"['Blck.Beetl', 'Vermin the Villain']",86156,True,%HELLO WORLD,1,0.452,0.86,9,-11.056,1,0.804,0.884,0.0015,0.164,0.253,79.826
14708,6Owp3bg98zM08oOrYEb7Sx,Arba'a x Arba'a (4 x 4),['Sultan Mojalli'],124706,False,100 %,0,0.677,0.33,2,-9.09,0,0.415,0.794,0.0,0.11,0.668,113.253
14709,2GWMUHXcKie3ZQNKAoEY5e,%̴̀͞͏̧́҉͘$̸̵̶̨̛͢͟͠&̶͠͏̷̶̡̕͜#̧͘̕͜͡͝͏̶@̵͘͘͞҉̶̷͞!̴̵̶̨̕͢͡͞?̨͏̧̧̀͟͠͡,['Fuerza Contraria'],481750,False,%̴̀͞͏̧́҉͘$̸̵̶̨̛͢͟͠&̶͠͏̷̶̡̕͜#̧͘̕͜͡͝͏̶@̵͘͘͞҉̶̷͞!̴̵̶̨̕͢͡͞?̨͏̧̧̀͟͠͡ 1,0,0.149,0.996,10,-0.026,0,0.447,0.0227,0.754,0.721,0.019,137.397
14710,4hacCTpzX7ZOYkHc5EBOzK,VOL 1: RED,['SENSESAY'],130000,False,TOP %,0,0.914,0.466,1,-14.537,1,0.208,0.125,0.0,0.129,0.841,144.001
14711,0qscKYv4Zcc2gQDoBZOmmM,ROCKSTAR LIFESTYLE,['CHAOS DAYOUNGIN'],77270,True,5 %,0,0.551,0.472,10,-12.12,1,0.29,0.438,5.06e-05,0.104,0.758,143.101
14712,7oym5KxKXmOX1JEmxTgYkS,To Dope To Be A Human,['Lunatic Prodigy'],114480,False,% Finished,0,0.769,0.619,1,-11.969,1,0.0738,0.0544,0.717,0.173,0.82,140.02
14713,1RqcqYCHMKApiP6UiP2rlT,Looking For Unique Vocalists,['Genius Wiz'],261381,False,Percentages %,0,0.613,0.566,4,-14.336,1,0.0795,0.00103,0.745,0.321,0.62,97.013
